Open,High,Low,Close,Moving Average 200,Moving Average 50,Exp Moving Average 10,Exp Moving Average 20
289.20,290.13,288.59,289.98,281.33,288.76,290.97,291.02
289.96,290.42,289.33,289.76,281.43,288.92,290.75,290.90
289.76,289.96,289.11,289.22,281.52,289.06,290.47,290.74
289.21,289.95,288.86,289.72,281.62,289.20,290.34,290.64
289.71,290.21,288.95,289.33,281.71,289.33,290.15,290.52
289.33,290.90,289.12,290.56,281.81,289.43,290.23,290.52
290.55,291.18,289.58,290.38,281.90,289.52,290.25,290.51
285.16,286.04,284.42,285.07,281.97,289.51,289.31,289.99
285.08,285.96,284.16,285.09,282.04,289.48,288.54,289.52
285.09,285.70,284.58,285.08,282.09,289.44,287.91,289.10
285.07,285.09,283.87,283.88,282.14,289.38,287.18,288.60
283.88,283.96,282.41,282.72,282.19,289.30,286.37,288.04
282.72,283.02,281.96,282.32,282.20,289.21,285.63,287.50
282.33,282.70,281.61,282.31,282.21,289.13,285.03,287.00
282.31,282.77,281.57,282.14,282.23,289.03,284.50,286.54
282.15,282.44,281.52,281.95,282.24,288.93,284.04,286.10
281.96,282.84,281.57,282.73,282.26,288.83,283.80,285.78
282.72,282.74,282.03,282.55,282.27,288.74,283.57,285.47
282.56,283.40,282.25,282.72,282.29,288.60,283.42,285.21
282.72,282.94,281.63,282.73,282.29,288.48,283.29,284.97
280.46,280.97,279.13,280.57,282.30,288.38,282.80,284.55
280.57,282.11,280.44,281.12,282.31,288.25,282.49,284.23
281.12,281.55,280.63,280.69,282.33,288.13,282.16,283.89
280.70,281.73,280.53,280.96,282.35,288.02,281.95,283.61
280.98,281.88,280.76,281.42,282.36,287.90,281.85,283.40
281.42,281.95,281.29,281.88,282.40,287.79,281.86,283.26
281.89,282.05,280.91,281.09,282.44,287.67,281.72,283.05
281.10,281.28,280.20,280.80,282.48,287.52,281.55,282.84
280.80,281.49,280.80,281.46,282.52,287.40,281.53,282.71
281.44,281.82,281.19,281.53,282.56,287.28,281.53,282.59
281.55,282.61,281.11,282.48,282.60,287.22,281.70,282.58
282.47,283.40,282.26,283.27,282.65,287.04,281.99,282.65
283.28,283.90,283.05,283.68,282.71,286.87,282.30,282.75
286.66,288.16,286.26,288.15,282.78,286.79,283.36,283.26
288.16,288.47,287.37,287.51,282.85,286.68,284.12,283.67
287.50,288.05,287.35,287.96,282.92,286.59,284.81,284.08
287.97,288.61,287.83,288.52,282.98,286.48,285.49,284.50
288.52,288.96,288.50,288.86,283.05,286.38,286.10,284.91
288.87,289.24,288.71,288.78,283.08,286.28,286.59,285.28
288.79,288.95,288.30,288.40,283.11,286.17,286.92,285.58
288.41,288.61,288.00,288.50,283.14,286.07,287.20,285.86
288.51,288.95,288.48,288.74,283.18,285.97,287.48,286.13
288.74,289.16,288.54,289.03,283.22,285.85,287.76,286.41
289.04,289.25,288.46,289.23,283.25,285.78,288.03,286.68
289.23,289.23,286.91,287.17,283.27,285.69,287.87,286.72
287.17,287.41,285.75,286.20,283.29,285.58,287.57,286.67
288.01,288.46,285.83,286.36,283.30,285.48,287.35,286.64
286.33,286.61,285.06,286.46,283.32,285.40,287.19,286.63
286.47,287.86,286.33,287.17,283.33,285.35,287.18,286.68
287.17,287.58,285.72,286.37,283.35,285.29,287.04,286.65
286.38,286.82,285.53,286.12,283.36,285.21,286.87,286.60
286.10,286.70,285.85,286.51,283.40,285.15,286.80,286.59
286.51,287.05,286.41,286.64,283.46,285.10,286.77,286.59
286.64,286.81,285.97,286.73,283.51,285.04,286.77,286.61
286.73,287.42,286.66,287.01,283.56,284.99,286.81,286.65
287.01,287.01,285.92,286.03,283.61,284.90,286.67,286.59
286.03,286.80,285.74,286.26,283.66,284.82,286.59,286.56
286.25,286.58,285.97,286.12,283.70,284.84,286.51,286.51
286.12,286.12,283.78,284.29,283.73,284.82,286.10,286.30
287.79,288.96,287.58,288.63,283.79,284.89,286.56,286.52
288.63,288.73,287.22,288.02,283.84,284.98,286.83,286.67
288.02,288.63,287.39,287.62,283.88,285.08,286.97,286.76
287.61,288.68,287.58,288.52,283.93,285.20,287.25,286.92
288.53,289.72,288.31,289.44,283.99,285.34,287.65,287.16
289.44,289.78,289.16,289.45,284.05,285.49,287.98,287.38
289.46,289.54,288.78,289.25,284.11,285.63,288.21,287.56
289.25,289.57,288.91,288.97,284.16,285.76,288.35,287.69
288.97,289.31,288.51,288.82,284.21,285.88,288.43,287.80
288.82,289.00,288.02,288.32,284.25,286.00,288.41,287.85
288.32,288.51,287.62,288.06,284.31,286.10,288.35,287.87
288.06,288.45,287.14,287.88,284.36,286.25,288.26,287.87
287.90,287.98,287.13,287.67,284.41,286.38,288.16,287.85
291.05,291.37,289.86,290.80,284.48,286.58,288.64,288.13
290.79,291.53,290.79,291.08,284.54,286.78,289.08,288.41
291.08,291.39,290.54,290.84,284.61,286.97,289.40,288.64
290.83,291.64,290.43,291.49,284.67,287.17,289.78,288.92
291.49,291.85,291.45,291.73,284.73,287.38,290.13,289.18
291.73,291.99,291.49,291.67,284.76,287.60,290.41,289.42
291.67,292.00,291.66,291.95,284.80,287.81,290.69,289.66
291.95,292.05,291.34,291.46,284.85,288.00,290.83,289.83
291.46,291.60,290.76,291.11,284.89,288.18,290.88,289.95
291.11,291.63,290.79,291.55,284.93,288.34,291.00,290.11
291.55,291.75,291.16,291.66,284.97,288.50,291.12,290.25
291.67,292.14,291.49,291.94,285.01,288.58,291.27,290.41
291.94,292.95,291.85,292.46,285.05,288.68,291.49,290.61
290.37,291.21,289.88,290.45,285.08,288.73,291.30,290.59
290.45,291.29,290.38,290.90,285.12,288.77,291.23,290.62
290.90,291.41,290.55,290.88,285.15,288.81,291.16,290.65
290.88,291.75,290.82,291.74,285.19,288.87,291.27,290.75
291.74,292.00,291.70,291.95,285.22,288.94,291.39,290.87
291.93,292.77,291.71,292.73,285.26,289.03,291.64,291.04
292.73,293.11,292.61,292.98,285.31,289.11,291.88,291.23
292.98,293.81,292.77,293.68,285.35,289.21,292.21,291.46
293.68,294.00,293.34,293.36,285.39,289.29,292.42,291.64
293.35,293.48,292.71,292.88,285.43,289.40,292.50,291.76
292.88,293.74,292.81,293.49,285.47,289.55,292.68,291.92
293.50,294.00,293.20,293.40,285.51,289.69,292.81,292.06
293.41,293.59,292.50,292.62,285.55,289.81,292.78,292.12
293.75,294.24,291.54,292.28,285.59,289.92,292.69,292.13
292.28,292.69,291.85,292.03,285.63,290.03,292.57,292.12
292.04,292.77,291.61,292.53,285.69,290.16,292.56,292.16
292.54,293.13,292.28,292.69,285.74,290.28,292.58,292.21
292.68,292.95,291.95,292.51,285.79,290.40,292.57,292.24
292.52,292.63,292.00,292.49,285.87,290.51,292.55,292.26
292.48,292.64,292.17,292.51,285.94,290.62,292.55,292.29
292.50,292.56,290.50,290.80,286.03,290.72,292.23,292.15
290.80,291.49,290.67,291.48,286.12,290.82,292.09,292.08
291.48,291.56,290.28,290.85,286.21,290.92,291.87,291.96
290.84,291.27,290.24,291.04,286.30,291.05,291.72,291.88
291.04,291.12,289.56,289.63,286.38,291.07,291.34,291.66
289.64,289.89,286.55,286.61,286.44,291.04,290.48,291.18
285.95,286.38,283.64,284.85,286.49,290.99,289.45,290.58
284.84,286.48,284.73,286.32,286.55,290.95,288.88,290.17
286.33,287.19,284.57,284.75,286.61,290.85,288.13,289.66
284.76,285.39,283.25,283.99,286.66,290.74,287.38,289.12
283.98,284.27,281.18,281.87,286.70,290.59,286.38,288.43
281.87,282.27,279.61,281.14,286.72,290.44,285.43,287.73
281.15,281.94,280.73,281.73,286.74,290.30,284.75,287.16
281.73,282.07,280.43,281.42,286.75,290.16,284.15,286.61
281.42,281.69,280.62,280.78,286.77,290.01,283.53,286.06
280.79,281.83,280.16,280.71,286.78,289.87,283.02,285.55
280.71,280.91,279.67,279.67,286.78,289.71,282.41,284.99
279.67,281.25,278.97,279.82,286.79,289.49,281.94,284.50
279.82,282.09,279.48,281.67,286.80,289.30,281.89,284.23
278.84,279.78,276.61,276.89,286.79,289.02,280.98,283.53
276.89,278.28,276.37,277.31,286.78,288.74,280.31,282.94
277.30,280.62,277.29,279.87,286.78,288.50,280.23,282.64
279.87,281.62,279.65,279.92,286.78,288.27,280.18,282.39
279.92,280.80,279.02,279.77,286.78,288.02,280.10,282.14
279.79,281.43,279.40,280.80,286.78,287.81,280.23,282.01
280.80,282.64,280.62,282.41,286.78,287.64,280.63,282.05
282.42,283.34,281.82,283.30,286.78,287.47,281.11,282.17
283.30,283.65,282.00,282.09,286.77,287.28,281.29,282.16
282.08,282.62,281.35,282.57,286.77,287.09,281.52,282.20
282.56,282.70,281.05,282.18,286.77,286.89,281.64,282.20
282.18,284.10,281.93,283.89,286.78,286.76,282.05,282.36
283.89,285.11,282.84,284.97,286.81,286.64,282.58,282.61
282.32,284.22,281.34,283.85,286.83,286.50,282.81,282.72
283.85,285.08,283.40,284.08,286.84,286.34,283.04,282.85
284.08,284.47,282.58,282.91,286.85,286.16,283.02,282.86
282.91,283.31,281.89,282.91,286.87,285.97,283.00,282.86
282.90,283.21,282.25,283.14,286.89,285.77,283.02,282.89
283.14,284.49,282.96,284.20,286.91,285.58,283.24,283.01
284.20,284.78,283.61,284.13,286.94,285.39,283.40,283.12
284.13,285.13,284.06,284.84,286.96,285.23,283.66,283.28
284.84,285.14,284.14,285.00,286.99,285.06,283.91,283.45
284.99,285.96,284.97,285.81,287.02,284.91,284.25,283.67
285.83,285.91,284.48,284.61,287.05,284.75,284.32,283.76
284.62,285.78,284.37,285.49,287.07,284.62,284.53,283.93
285.49,286.33,284.58,286.26,287.10,284.50,284.85,284.15
293.09,294.19,292.70,293.28,287.16,284.52,286.38,285.02
293.28,293.69,292.87,293.32,287.22,284.53,287.64,285.81
293.32,294.69,293.32,294.53,287.28,284.57,288.89,286.64
294.53,295.58,294.48,295.24,287.34,284.62,290.05,287.46
295.25,295.48,294.74,295.04,287.40,284.67,290.96,288.18
295.03,295.25,294.64,295.00,287.45,284.76,291.69,288.83
