Date,Open,High,Low,Close,FW Moving Average 25
12/27/2016,226.00,226.73,226.00,226.27,224.87
12/28/2016,226.59,226.59,224.27,224.40,224.93
12/29/2016,224.47,224.89,223.84,224.35,224.97
12/30/2016,224.71,224.83,222.73,223.53,224.94
1/3/2017,225.07,225.83,223.88,225.24,225.04
1/4/2017,225.64,226.75,225.61,226.58,225.22
1/5/2017,226.28,226.58,225.48,226.40,225.38
1/6/2017,226.53,227.75,225.90,227.21,225.57
1/9/2017,226.90,227.07,226.42,226.46,225.69
1/10/2017,226.47,227.45,226.01,226.46,225.79
1/11/2017,226.38,227.10,225.59,227.10,225.92
1/12/2017,226.50,226.75,224.96,226.53,225.98
1/13/2017,226.75,227.40,226.69,227.05,226.07
1/17/2017,226.30,226.78,225.80,226.25,226.09
1/18/2017,226.52,226.80,225.90,226.75,226.15
1/19/2017,226.83,227.00,225.41,225.91,226.14
1/20/2017,226.73,227.31,225.97,226.74,226.19
1/23/2017,226.37,226.81,225.27,226.15,226.20
1/24/2017,226.40,228.08,226.27,227.60,226.33
1/25/2017,228.70,229.57,228.51,229.57,226.60
1/26/2017,229.42,229.71,229.01,229.33,226.84
1/27/2017,229.44,229.59,228.76,228.97,227.04
1/30/2017,228.18,228.20,226.41,227.55,227.12
1/31/2017,227.01,227.60,226.32,227.53,227.20
2/1/2017,228.28,228.59,226.94,227.62,227.27
2/2/2017,227.24,228.10,226.82,227.77,227.36
2/3/2017,228.85,229.55,228.46,229.34,227.55
2/6/2017,228.89,229.33,228.54,228.93,227.71
2/7/2017,229.36,229.66,228.72,228.94,227.84
2/8/2017,228.59,229.39,228.31,229.24,227.99
2/9/2017,229.57,230.95,229.52,230.60,228.23
2/10/2017,231.00,231.77,230.62,231.51,228.52
2/13/2017,232.09,233.07,232.05,232.77,228.90
2/14/2017,232.55,233.71,232.16,233.70,229.33
2/15/2017,233.43,235.14,233.39,234.92,229.83
2/16/2017,234.93,235.16,233.85,234.72,230.29
2/17/2017,233.97,235.09,233.93,235.09,230.75
2/21/2017,235.51,236.69,235.51,236.49,231.30
